Лемма	positive		negative		not positive	pos fraction		pos fraction without Moscow		mean pos percentage		mean neg percentage		pos neg ratio		percentage defect		rank defect	
кукси	20	20	121	120	139	14.18	14.29	18.69	18.87	0.72	1.25	1.01	0.31	0.71	4.06	0.52	0.00	0.75	0.00
сотик	458	458	516	505	832	47.02	47.56	57.32	58.12	0.13	0.15	0.19	0.11	0.69	1.39	0.47	0.28	0.60	0.34
хилять	10	10	154	154	196	6.10	6.10	11.36	11.36	0.04	0.16	0.06	0.01	0.68	19.30	0.52	0.00	0.80	0.00
рясный	64	64	40	40	152	61.54	61.54	73.56	73.56	0.02	0.02	0.03	0.01	0.67	1.60	0.50	0.25	0.71	0.25
видовка	46	46	12	12	16	79.31	79.31	85.19	85.19	0.31	0.31	0.46	0.46	0.66	0.66	0.34	0.34	1.00	1.00
мультифор	13	13	108	108	83	10.74	10.74	13.54	13.54	0.09	0.09	0.13	0.10	0.66	0.89	0.34	0.11	1.00	1.00
повешать	223	223	201	198	404	52.59	52.97	63.17	63.71	0.11	0.11	0.16	0.03	0.65	3.38	0.52	0.14	0.38	0.10
бичара	11	11	36	35	54	23.40	23.91	30.56	31.43	0.04	0.03	0.06	0.00	0.65	8.97	0.54	0.00	0.67	0.00
одоробло	112	112	8	8	60	93.33	93.33	94.12	94.12	0.01	0.02	0.02	0.00	0.64	inf	0.46	0.00	0.75	0.00
шкара	23	23	111	110	138	17.16	17.29	25.84	26.14	0.08	0.14	0.12	0.11	0.64	1.23	0.40	0.00	0.50	0.00
притёс	9	9	21	21	9	30.00	30.00	33.33	33.33	0.04	0.04	0.07	0.07	0.63	0.63	0.37	0.37	1.00	1.00
насаться	26	26	32	32	36	44.83	44.83	55.32	55.32	0.05	0.06	0.08	0.02	0.63	3.59	0.55	0.07	0.56	0.11
ссобойка	22	22	38	38	184	36.67	36.67	61.11	61.11	0.06	0.06	0.09	0.00	0.62	22.13	0.38	0.00	1.00	0.00
открывачка	31	31	3	3	22	91.18	91.18	93.94	93.94	0.01	0.01	0.01	0.00	0.61	inf	0.39	0.00	1.00	0.00
скибка	130	130	20	20	90	86.67	86.67	95.59	95.59	0.01	0.02	0.02	0.00	0.60	14.27	0.44	0.00	0.67	0.00
сотовый	1585	1585	32674	32507	39779	4.63	4.65	7.39	7.45	2.51	2.51	4.26	3.97	0.59	0.63	0.49	0.46	0.75	0.75
вотянка	5	5	26	26	1	16.13	16.13	16.13	16.13	0.08	0.08	0.13	0.13	0.58	0.58	0.42	0.42	1.00	1.00
таксобус	15	15	4	4	6	78.95	78.95	93.75	93.75	0.00	0.00	0.00	0.00	0.58	inf	0.42	0.00	1.00	0.00
