Лемма	positive		negative		not positive	pos fraction		pos fraction without Moscow		mean pos percentage		mean neg percentage		pos neg ratio		percentage defect		rank defect	
видовка	13	13	8	8	13	61.90	61.90	76.47	76.47	1.66	1.66	3.70	0.00	0.45	inf	0.55	0.00	1.00	0.00
открывачка	22	22	3	3	19	88.00	88.00	91.67	91.67	0.07	0.07	0.17	0.00	0.43	inf	0.57	0.00	1.00	0.00
пасочка	485	485	115	112	426	80.83	81.24	89.48	89.98	1.19	1.10	2.85	0.09	0.42	12.49	0.58	0.00	1.00	0.00
козный	8	8	7	7	14	53.33	53.33	57.14	57.14	1.02	1.02	2.47	0.00	0.41	inf	0.59	0.00	1.00	0.00
мобилка	1343	1343	3215	3202	3938	29.46	29.55	45.46	45.66	4.40	4.40	11.11	8.91	0.40	0.49	0.60	0.51	1.00	1.00
чебак	33	33	47	45	68	41.25	42.31	47.83	49.25	0.84	0.74	2.12	0.26	0.40	2.82	0.66	0.00	0.61	0.00
стёрка	84	84	160	159	214	34.43	34.57	50.30	50.60	0.53	0.53	1.35	0.61	0.39	0.87	0.62	0.40	0.88	0.60
Ирк	51	51	175	175	199	22.57	22.57	48.57	48.57	0.31	0.31	0.81	0.25	0.38	1.22	0.62	0.00	1.00	0.00
селючка	15	15	1	1	17	93.75	93.75	93.75	93.75	0.05	0.05	0.13	0.00	0.38	inf	0.62	0.00	1.00	0.00
сотовый	788	788	16490	16395	19951	4.56	4.59	7.28	7.34	17.15	17.15	45.73	30.05	0.38	0.57	0.62	0.43	1.00	1.00
однёрка	15	15	52	52	57	22.39	22.39	30.61	30.61	0.56	1.43	1.52	0.64	0.36	2.24	0.66	0.00	0.92	0.00
растрынькать	11	11	2	2	20	84.62	84.62	91.67	91.67	0.10	0.03	0.27	0.00	0.36	inf	0.65	0.00	0.75	0.00
замного	24	24	65	64	87	26.97	27.27	39.34	40.00	0.80	0.82	2.29	0.51	0.35	1.60	0.69	0.24	0.56	0.25
