Author	Loc	Words count	Positive lemmas	Negative lemmas	Not positive lemmas	Positive occs	Negative occs	Not positive occs
96285225	NA	595	0	0	1	0	0	1
207346357	Хакасия	595	1	0	0	1	0	0
179690942	Харьковская область	595	0	1	0	0	1	0
22274662	Украина	595	1	0	0	1	0	0
183758726	NA	595	0	0	1	0	0	1
176791583	Украина	595	0	1	0	0	2	0
39509141	Чувашия	595	0	1	0	0	1	0
15955024	Харьковская область	595	0	1	0	0	1	0
9631139	NA	595	0	0	1	0	0	3
210369579	NA	595	0	0	1	0	0	1
117896111	Россия	595	0	0	1	0	0	8
137223743	Краснодарский край	595	0	1	0	0	1	0
232740037	Киев	595	1	0	0	1	0	0
223886162	NA	595	0	0	1	0	0	1
231816863	Тюменская область	595	0	1	0	0	1	0
185138283	Россия	595	0	0	1	0	0	1
198000701	Гомельская область	595	1	0	0	2	0	0
180884960	Свердловская область	595	0	1	0	0	1	0
227599762	NA	595	0	0	1	0	0	1
153831082	Кировская область	595	0	1	0	0	1	0
188562620	NA	595	0	0	1	0	0	1
806120	NA	595	0	0	1	0	0	1
12419584	Сумская область	594	0	1	0	0	1	0
28098941	Калининградская область	594	0	1	0	0	2	0
16731132	Россия	594	0	0	1	0	0	1
9786880	NA	594	0	0	1	0	0	1
19716157	Челябинская область	594	0	1	0	0	1	0
199957099	Тюменская область	594	1	0	0	1	0	0
242221535	NA	594	0	0	1	0	0	1
196933249	Кировоградская область	594	0	1	0	0	1	0
246959533	Ростовская область	594	0	1	0	0	1	0
11802170	Киев	594	0	1	0	0	1	0
209795100	Украина	594	0	1	0	0	1	0
64030785	NA	594	0	0	1	0	0	1
177492617	Тульская область	594	0	1	0	0	1	0
2898582	Москва	594	1	0	0	1	0	0
224750292	Одесская область	594	0	1	0	0	1	0
58776581	Татарстан	594	0	1	0	0	1	0
5048091	Самарская область	594	0	1	0	0	1	0
15954213	Астраханская область	594	0	1	0	0	1	0
226912283	Башкирия	594	0	1	0	0	2	0
153702920	NA	594	0	0	1	0	0	1
134282759	Одесская область	594	1	0	0	1	0	0
246634129	NA	593	0	0	1	0	0	1
209353885	NA	593	0	0	1	0	0	1
206705986	Ставропольский край	593	1	0	0	1	0	0
1315218	Россия	593	0	0	1	0	0	2
170330697	Украина	593	0	1	0	0	1	0
134175029	Оренбургская область	593	0	1	0	0	1	0
8787474	Харьковская область	593	1	0	0	1	0	0
176715518	Казахстан	593	0	1	0	0	1	0
231096770	Николаевская область	593	0	1	0	0	2	0
75034554	NA	593	0	0	1	0	0	2
177441738	Крым	593	0	1	0	0	1	0
6961027	NA	593	0	0	1	0	0	1
46608148	Москва	593	0	1	0	0	1	0
2226527	Татарстан	593	0	1	0	0	1	0
89945614	NA	593	0	0	1	0	0	1
216984056	NA	592	0	0	1	0	0	1
166838462	Казахстан	592	0	1	0	0	1	0
205970151	NA	592	0	0	1	0	0	1
198639323	Москва	592	0	1	0	0	2	0
218389429	NA	592	0	0	1	0	0	1
162920341	Брестская область	592	0	1	0	0	1	0
169534895	NA	592	0	0	1	0	0	1
224580004	NA	592	0	0	1	0	0	1
242783936	NA	592	0	0	1	0	0	1
232157560	NA	592	0	0	1	0	0	1
236511644	Россия	592	0	0	1	0	0	1
38274625	NA	592	0	0	1	0	0	1
17284181	Запорожская область	592	0	1	0	0	1	0
226265661	Россия	592	0	0	1	0	0	1
89165796	Киев	592	1	0	0	1	0	0
11134637	Донецкая область	592	0	1	0	0	1	0
7604742	Киев	592	1	0	0	1	0	0
223015121	Казахстан	592	0	1	0	0	1	0
14440864	Россия	592	0	0	1	0	0	1
119770284	NA	592	0	0	1	0	0	1
140627472	NA	591	0	0	1	0	0	1
222314238	Киев	591	0	1	0	0	1	0
165710958	Приморский край	591	0	1	0	0	1	0
223926360	Россия	591	0	0	1	0	0	1
2338658	Россия	591	0	0	1	0	0	1
241448606	Россия	591	0	0	1	0	0	4
14538380	NA	591	0	0	1	0	0	1
202932713	NA	591	0	0	1	0	0	1
250817985	NA	591	0	0	1	0	0	1
162776097	Россия	591	0	0	1	0	0	2
9085584	NA	591	0	0	1	0	0	1
595965	Черкасская область	591	0	1	0	0	1	0
56436597	NA	591	0	0	1	0	0	3
107228651	Киев	591	0	1	0	0	1	0
12574575	NA	591	0	0	1	0	0	1
114946520	Новосибирская область	591	0	1	0	0	1	0
236985704	NA	591	0	0	1	0	0	1
