Лемма	positive		negative		not positive	pos fraction		pos fraction without Moscow		mean pos percentage		mean neg percentage		pos neg ratio		percentage defect		rank defect	
хилять	3	3	31	31	32	8.82	8.82	10.71	10.71	0.03	0.00	0.03	0.00	1.08	0.00	0.37	0.00	0.67	1.00
Вартовск	2	2	41	41	19	4.65	4.65	4.88	4.88	0.01	0.00	0.24	0.24	0.06	0.00	0.94	0.00	1.00	1.00
политпроект	2	2	4	4	5	33.33	33.33	33.33	33.33	0.00	0.00	0.01	0.00	0.02	0.00	0.98	0.00	1.00	1.00
кралька	4	4	2	2	4	66.67	66.67	100.00	100.00	0.01	0.00	0.00	0.00	11.88	0.00	0.00	0.00	0.00	1.00
таксичка	1	1	1	1	3	50.00	50.00	50.00	50.00	0.01	0.00	0.02	0.00	0.61	0.00	0.39	0.00	1.00	1.00
перебуробить	0	0	2	2	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00
вартовский	0	0	11	11	6	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.08	0.00	0.00	0.00	0.00	1.00	1.00
мырк	0	0	5	5	12	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.00	1.00
родовик	0	0	3	3	0	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	1.00	1.00
бичёвка	7	7	16	16	20	30.43	30.43	33.33	33.33	0.01	0.00	0.05	0.00	0.22	0.00	0.78	0.00	1.00	1.00
юганский	2	2	6	6	6	25.00	25.00	28.57	28.57	0.01	0.00	0.02	0.00	0.78	0.00	0.22	0.00	1.00	1.00
тэшка	0	0	6	6	12	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	1.00	1.00
жулькать	3	3	3	3	1	50.00	50.00	60.00	60.00	0.00	0.00	0.00	0.00	2.09	0.00	0.00	0.00	0.25	1.00
матиться	2	2	6	6	4	25.00	25.00	25.00	25.00	0.01	0.00	0.01	0.00	1.24	0.00	0.00	0.00	0.00	1.00
метельщик	0	0	3	3	4	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.00	1.00
энский	3	3	19	19	17	13.64	13.64	15.00	15.00	0.01	0.00	0.03	0.00	0.24	0.00	0.76	0.00	1.00	1.00
кугутский	1	1	2	2	0	33.33	33.33	33.33	33.33	0.00	0.00	0.01	0.00	0.29	0.00	0.71	0.00	1.00	1.00
прометейка	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00
дирик	0	0	51	51	51	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.01	0.00	0.00	0.00	0.00	1.00	1.00
бендёжка	1	1	0	0	1	100.00	100.00	100.00	100.00	0.00	0.00	0.00	0.00	inf	0.00	0.00	0.00	0.00	1.00
прохилять	1	1	0	0	1	100.00	100.00	100.00	100.00	0.00	0.00	0.00	0.00	inf	0.00	0.00	0.00	0.00	1.00
хабарь	1	1	67	67	35	1.47	1.47	1.52	1.52	0.00	0.00	0.08	0.02	0.04	0.00	0.96	0.00	1.00	1.00
дняра	1	1	4	4	4	20.00	20.00	25.00	25.00	0.03	0.00	0.01	0.00	2.35	0.00	0.00	0.00	0.00	1.00
тигули	1	1	5	5	2	16.67	16.67	33.33	33.33	0.01	0.00	0.02	0.00	0.53	0.00	0.47	0.00	1.00	1.00
чебак	4	4	6	6	7	40.00	40.00	50.00	50.00	0.01	0.00	0.01	0.00	1.38	0.00	0.26	0.00	0.50	1.00
тарбаган	1	1	3	3	3	25.00	25.00	25.00	25.00	0.03	0.00	0.01	0.00	2.21	0.00	0.00	0.00	0.00	1.00
захилять	0	0	2	2	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00
битловка	0	0	4	4	3	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.00	1.00
мещер	0	0	2	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	1.00	1.00
карпалить	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00
сахаляр	1	1	0	0	1	100.00	100.00	100.00	100.00	0.01	0.00	0.00	0.00	inf	0.00	0.00	0.00	0.00	1.00
полярка	4	4	15	15	10	21.05	21.05	22.22	22.22	0.04	0.00	0.08	0.14	0.47	0.00	0.58	0.00	0.50	1.00
фазанка	8	8	3	3	12	72.73	72.73	72.73	72.73	0.09	0.00	0.01	0.00	13.58	0.00	0.07	0.00	0.11	1.00
пятнашки	0	0	164	164	154	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.02	0.00	0.00	0.00	0.00	1.00	1.00
сорожка	2	2	4	4	4	33.33	33.33	33.33	33.33	0.00	0.00	0.01	0.00	0.46	0.00	0.54	0.00	1.00	1.00
бичевоз	0	0	1	1	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00
горошница	4	4	6	6	6	40.00	40.00	44.44	44.44	0.01	0.00	0.01	0.00	0.70	0.00	0.32	0.00	0.75	1.00
пиджачник	0	0	8	8	3	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.00	1.00
рипус	0	0	1	1	11	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.00	1.00
балок	0	0	8	8	4	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	1.00	1.00
ламбушка	0	0	1	1	7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00
кульбик	1	1	0	0	0	100.00	100.00	100.00	100.00	0.00	0.00	0.00	0.00	inf	0.00	0.00	0.00	0.00	1.00
глоссик	2	2	0	0	2	100.00	100.00	100.00	100.00	0.00	0.00	0.00	0.00	inf	0.00	0.00	0.00	0.00	1.00
полторачка	1	1	0	0	1	100.00	100.00	100.00	100.00	0.00	0.00	0.00	0.00	inf	0.00	0.00	0.00	0.00	1.00
вилюшка	0	0	5	5	2	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	1.00	1.00
жердёла	2	2	4	4	4	33.33	33.33	40.00	40.00	0.01	0.00	0.01	0.00	0.50	0.00	0.50	0.00	1.00	1.00
вовсюда	1	1	5	5	4	16.67	16.67	33.33	33.33	0.03	0.00	0.01	0.00	3.73	0.00	0.00	0.00	0.00	1.00
многоквартирник	3	3	5	5	1	37.50	37.50	42.86	42.86	0.01	0.00	0.02	0.00	0.51	0.00	0.49	0.00	1.00	1.00
верхонка	1	1	1	1	2	50.00	50.00	100.00	100.00	0.01	0.00	0.00	0.00	15.21	0.00	0.00	0.00	0.00	1.00
мантышница	0	0	11	11	6	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	1.00	1.00
Слепцовская	1	1	0	0	2	100.00	100.00	100.00	100.00	0.21	0.00	0.00	0.00	inf	0.00	0.00	0.00	0.00	1.00
каблуха	2	2	5	5	6	28.57	28.57	33.33	33.33	0.01	0.00	0.02	0.00	0.36	0.00	0.64	0.00	1.00	1.00
дерибас	1	1	34	34	17	2.86	2.86	3.33	3.33	0.01	0.00	0.04	0.03	0.35	0.00	0.65	0.00	1.00	1.00
стародачный	2	2	0	0	4	100.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00	inf	0.00	0.00	0.00	0.00	1.00
