Лемма	positive		negative		not positive	pos fraction		pos fraction without Moscow		mean pos percentage		mean neg percentage		pos neg ratio		percentage defect		rank defect	
бендёга	0	0	4	4	0	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	1.00	1.00
грядушка	4	4	9	9	3	30.77	30.77	57.14	57.14	0.05	0.00	0.02	0.00	3.29	0.00	0.00	0.00	0.00	1.00
лобань	1	1	3	3	5	25.00	25.00	25.00	25.00	0.00	0.00	0.01	0.00	0.39	0.00	0.61	0.00	1.00	1.00
замного	0	0	2	2	2	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	1.00	1.00
кукси	1	1	46	46	43	2.13	2.13	2.38	2.38	0.11	0.00	0.11	0.11	1.00	0.00	0.00	0.00	1.00	1.00
городушки	0	0	2	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.00	1.00
Юганск	2	2	22	22	11	8.33	8.33	9.09	9.09	0.02	0.00	0.14	0.14	0.15	0.00	0.85	0.00	1.00	1.00
Слепцовка	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.00	1.00
мантоварка	4	4	16	16	11	20.00	20.00	11.11	11.11	0.00	0.00	0.06	0.00	0.04	0.00	0.96	0.00	1.00	1.00
пастик	1	1	6	6	11	14.29	14.29	14.29	14.29	0.01	0.00	0.02	0.00	0.56	0.00	0.44	0.00	1.00	1.00
местовое	1	1	0	0	0	100.00	100.00	100.00	100.00	0.00	0.00	0.00	0.00	inf	0.00	0.00	0.00	0.00	1.00
углярка	4	4	0	0	4	100.00	100.00	100.00	100.00	0.01	0.00	0.00	0.00	inf	0.00	0.00	0.00	0.00	1.00
домушка	2	2	5	5	8	28.57	28.57	0.00	0.00	0.00	0.00	0.01	0.00	0.10	0.00	0.90	0.00	1.00	1.00
шаталить	0	0	1	1	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00
тэшка	0	0	7	7	22	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	1.00	1.00
курумник	1	1	4	4	2	20.00	20.00	25.00	25.00	0.19	0.00	0.02	0.00	10.85	0.00	0.00	0.00	0.00	1.00
шахер	0	0	10	10	11	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.00	1.00
груздянка	0	0	3	3	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00
дикошарый	8	8	1	1	1	88.89	88.89	88.89	88.89	0.01	0.00	0.00	0.00	3.21	0.00	0.19	0.00	0.16	1.00
перетяг	0	0	7	7	3	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	1.00	1.00
сейгод	2	2	4	4	0	33.33	33.33	33.33	33.33	0.02	0.00	0.04	0.00	0.61	0.00	0.39	0.00	1.00	1.00
жлыга	0	0	9	9	8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00
пиндитный	1	1	1	1	3	50.00	50.00	100.00	100.00	0.00	0.00	0.00	0.00	8.13	0.00	0.00	0.00	0.00	1.00
каралька	2	2	5	5	5	28.57	28.57	33.33	33.33	0.01	0.00	0.01	0.00	0.75	0.00	0.25	0.00	1.00	1.00
локер	0	0	37	37	48	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	1.00	1.00
