Лемма	positive		negative		not positive	pos fraction		pos fraction without Moscow		mean pos percentage		mean neg percentage		pos neg ratio		percentage defect		rank defect	
автолайн	1	1	14	14	15	6.67	6.67	7.69	7.69	0.00	0.00	0.12	0.12	0.00	0.00	1.00	0.00	1.00	1.00
вовсюда	0	0	6	6	2	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.00	1.00
рогачка	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00
растренькать	0	0	2	2	1	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	1.00	1.00
котельцовый	1	1	0	0	0	100.00	100.00	100.00	100.00	0.05	0.00	0.00	0.00	inf	0.00	0.00	0.00	0.00	1.00
голить	2	2	49	49	12	3.92	3.92	4.17	4.17	0.03	0.00	0.10	0.13	0.29	0.00	0.71	0.00	1.00	1.00
чирус	1	1	0	0	0	100.00	100.00	100.00	100.00	0.01	0.00	0.00	0.00	inf	0.00	0.00	0.00	0.00	1.00
сейгод	2	2	4	4	0	33.33	33.33	33.33	33.33	0.03	0.00	0.04	0.00	0.59	0.00	0.41	0.00	1.00	1.00
гранчак	3	3	1	1	3	75.00	75.00	75.00	75.00	0.00	0.00	0.01	0.00	0.11	0.00	0.89	0.00	1.00	1.00
латка	0	0	182	182	120	0.00	0.00	0.00	0.00	0.00	0.00	0.67	0.07	0.00	0.00	0.00	0.00	1.00	1.00
грядушка	4	4	9	9	3	30.77	30.77	57.14	57.14	0.07	0.00	0.02	0.00	3.54	0.00	0.00	0.00	0.00	1.00
йошкинский	0	0	1	1	1	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	1.00	1.00
бичара	3	3	14	14	17	17.65	17.65	21.43	21.43	0.02	0.00	0.02	0.00	1.14	0.00	0.06	0.00	0.22	1.00
берик	1	1	60	60	29	1.64	1.64	1.75	1.75	0.01	0.00	0.12	0.12	0.05	0.00	0.95	0.00	1.00	1.00
тулик	0	0	2	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	1.00	1.00
подглазины	1	1	1	1	4	50.00	50.00	50.00	50.00	0.02	0.00	0.02	0.00	0.74	0.00	0.26	0.00	1.00	1.00
шуфлядка	1	1	11	11	12	8.33	8.33	8.33	8.33	0.00	0.00	0.04	0.00	0.07	0.00	0.93	0.00	1.00	1.00
материковский	0	0	1	1	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00
царан	1	1	4	4	2	20.00	20.00	20.00	20.00	0.05	0.00	0.02	0.00	1.96	0.00	0.00	0.00	0.00	1.00
купорка	0	0	2	2	3	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.00	1.00
Улановка	3	3	1	1	1	75.00	75.00	75.00	75.00	0.13	0.00	0.02	0.00	7.90	0.00	0.00	0.00	0.00	1.00
оптарь	1	1	0	0	0	100.00	100.00	100.00	100.00	0.01	0.00	0.00	0.00	inf	0.00	0.00	0.00	0.00	1.00
кеч	0	0	33	33	36	0.00	0.00	0.00	0.00	0.00	0.00	0.39	0.05	0.00	0.00	0.00	0.00	1.00	1.00
кугутня	1	1	2	2	1	33.33	33.33	33.33	33.33	0.00	0.00	0.01	0.00	0.01	0.00	0.99	0.00	1.00	1.00
расколотка	0	0	3	3	0	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.00	1.00
лобань	1	1	1	1	3	50.00	50.00	50.00	50.00	0.01	0.00	0.01	0.00	0.44	0.00	0.56	0.00	1.00	1.00
Слепцовск	0	0	3	3	0	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	1.00	1.00
пиндитный	1	1	1	1	2	50.00	50.00	100.00	100.00	0.01	0.00	0.00	0.00	8.58	0.00	0.00	0.00	0.00	1.00
кублиться	1	1	0	0	0	100.00	100.00	100.00	100.00	0.00	0.00	0.00	0.00	inf	0.00	0.00	0.00	0.00	1.00
тырситься	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00
максать	0	0	1	1	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00
бадик	4	4	6	6	10	40.00	40.00	50.00	50.00	0.03	0.00	0.01	0.00	3.05	0.00	0.02	0.00	0.11	1.00
