Лемма	positive		negative		not positive	pos fraction		pos fraction without Moscow		mean pos percentage		mean neg percentage		pos neg ratio		percentage defect		rank defect	
помогайка	0	0	4	4	6	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	1.00	1.00
пиджачник	0	0	8	8	3	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	1.00	1.00
мырк	0	0	1	1	9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00
дикошарый	5	5	1	1	0	83.33	83.33	83.33	83.33	0.02	0.00	0.01	0.00	1.78	0.00	0.30	0.00	0.25	1.00
гранчак	3	3	1	1	2	75.00	75.00	75.00	75.00	0.00	0.00	0.01	0.00	0.11	0.00	0.89	0.00	1.00	1.00
граз	0	0	15	15	12	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	1.00	1.00
тарбаган	0	0	3	3	3	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	1.00	1.00
окараться	1	1	0	0	1	100.00	100.00	100.00	100.00	0.01	0.00	0.00	0.00	inf	0.00	0.00	0.00	0.00	1.00
растягай	0	0	1	1	2	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	1.00	1.00
притёс	1	1	1	1	1	50.00	50.00	50.00	50.00	0.01	0.00	0.05	0.00	0.24	0.00	0.76	0.00	1.00	1.00
дюндель	4	4	3	3	2	57.14	57.14	57.14	57.14	0.00	0.00	0.03	0.00	0.05	0.00	0.95	0.00	1.00	1.00
метельщица	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.00	1.00
купорка	0	0	2	2	3	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.00	1.00
козный	1	1	7	7	3	12.50	12.50	25.00	25.00	0.02	0.00	0.28	0.00	0.06	0.00	0.94	0.00	1.00	1.00
улановский	1	1	10	10	5	9.09	9.09	10.00	10.00	0.07	0.00	0.20	0.00	0.36	0.00	0.64	0.00	1.00	1.00
латка	0	0	168	168	112	0.00	0.00	0.00	0.00	0.00	0.00	2.20	0.09	0.00	0.00	0.00	0.00	1.00	1.00
хабот	0	0	2	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00	1.00	1.00
вербач	1	1	0	0	1	100.00	100.00	100.00	100.00	0.01	0.00	0.00	0.00	inf	0.00	0.00	0.00	0.00	1.00
кунять	2	2	7	7	3	22.22	22.22	28.57	28.57	0.00	0.00	0.05	0.00	0.02	0.00	0.98	0.00	1.00	1.00
вехотка	3	3	7	7	4	30.00	30.00	42.86	42.86	0.02	0.00	0.03	0.00	0.61	0.00	0.42	0.00	0.75	1.00
толобы	1	1	2	2	3	33.33	33.33	50.00	50.00	0.27	0.00	0.00	0.00	155.80	0.00	0.00	0.00	0.00	1.00
Слепцовск	0	0	2	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	1.00	1.00
дняра	1	1	3	3	3	25.00	25.00	33.33	33.33	0.11	0.00	0.05	0.00	2.11	0.00	0.00	0.00	0.00	1.00
царан	1	1	3	3	2	25.00	25.00	25.00	25.00	0.11	0.00	0.04	0.00	2.92	0.00	0.00	0.00	0.00	1.00
люксовка	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.00	1.00
сижка	1	1	7	7	4	12.50	12.50	20.00	20.00	0.01	0.00	0.05	0.00	0.21	0.00	0.79	0.00	1.00	1.00
улка	12	12	52	52	27	18.75	18.75	21.82	21.82	0.07	0.00	0.13	0.15	0.50	0.00	0.56	0.00	0.84	1.00
копаль	1	1	2	2	2	33.33	33.33	33.33	33.33	0.03	0.00	0.02	0.00	1.11	0.00	0.00	0.00	0.00	1.00
